OBJECTID;codigo_geo;pob_pad19;municipio_;cod_mund;Shape_Length;Shape_Area
92;0875;4389;Los Molinos;875;19401,615747501564329;19163308,986909676343203
93;1441;8799;Soto del Real;1441;34267,926280008767208;42845001,678927764296532
94;1662;465;Valverde de Alcalá;1662;17055,978584890144703;13736018,737256469205022
95;0590;6696;Fuente el Saz de Jarama;590;28570,538641836643365;33148832,439514536410570
96;0702;145;Horcajo de la Sierra-Aoslos;702;22171,684660755327059;21203004,876937899738550
97;1625;4136;Valdeolmos-Alalpardo;1625;25837,964390795041254;25846436,372260488569736
98;0339;6210;Campo Real;339;34778,425568038983329;61745654,324489630758762
99;1564;1554;Valdeavero;1564;31287,420683127053053;18711572,670455563813448
100;1739;703;Villamanrique de Tajo;1739;32643,320268444687827;29576265,980814266949892
101;0416;7428;Cobeña;416;24404,074616107929614;20787264,262982394546270
102;0565;1572;Fresnedillas de la Oliva;565;27614,570400573651568;28342659,761594913899899
103;1659;2933;Valdilecha;1659;25332,272944214335439;42569927,896230086684227
104;0210;760;El Berrueco;210;24071,995071860423195;28402935,600904840976000
105;1111;842;Pezuela de las Torres;1111;29596,056355052973231;41682531,283265344798565
106;1795;2011;Villar del Olmo;1795;21697,795039212458505;27782408,769265253096819
